index,name,side,default_kind,frame_center_x_um,frame_center_y_um,frame_bbox_um,orientation,user_wrapper_pin_bbox_um
0,PAD_S00,S,analog,500,65,450 0 550 130,R0,450 0 470 20
1,PAD_S01,S,analog,1000,65,950 0 1050 130,R0,910 0 930 20
2,PAD_S02,S,analog,1500,65,1450 0 1550 130,R0,1370 0 1390 20
3,PAD_S03,S,analog,2000,65,1950 0 2050 130,R0,1830 0 1850 20
4,PAD_S04,S,analog,2500,65,2450 0 2550 130,R0,2290 0 2310 20
5,PAD_S05,S,analog,3000,65,2950 0 3050 130,R0,2750 0 2770 20
6,PAD_S06,S,analog,3500,65,3450 0 3550 130,R0,3210 0 3230 20
7,PAD_S07,S,analog,4000,65,3950 0 4050 130,R0,3670 0 3690 20
8,PAD_S08,S,analog,4500,65,4450 0 4550 130,R0,4130 0 4150 20
9,PAD_S09,S,analog,5000,65,4950 0 5050 130,R0,4590 0 4610 20
10,PAD_S10,S,analog,5500,65,5450 0 5550 130,R0,5050 0 5070 20
11,PAD_S11,S,analog,6000,65,5950 0 6050 130,R0,5510 0 5530 20
12,PAD_S12,S,analog,6500,65,6450 0 6550 130,R0,5970 0 5990 20
13,PAD_S13,S,analog,7000,65,6950 0 7050 130,R0,6430 0 6450 20
14,PAD_S14,S,analog,7500,65,7450 0 7550 130,R0,6890 0 6910 20
15,PAD_S15,S,analog,8000,65,7950 0 8050 130,R0,7350 0 7370 20
16,PAD_S16,S,analog,8500,65,8450 0 8550 130,R0,7810 0 7830 20
17,PAD_S17,S,analog,9000,65,8950 0 9050 130,R0,8270 0 8290 20
18,PAD_S18,S,analog,9500,65,9450 0 9550 130,R0,8730 0 8750 20
19,PAD_S19,S,analog,10000,65,9950 0 10050 130,R0,9190 0 9210 20
20,PAD_S20,S,analog,10500,65,10450 0 10550 130,R0,9650 0 9670 20
21,PAD_S21,S,analog,11000,65,10950 0 11050 130,R0,10110 0 10130 20
22,PAD_S22,S,analog,11500,65,11450 0 11550 130,R0,10570 0 10590 20
23,PAD_S23,S,analog,12000,65,11950 0 12050 130,R0,11030 0 11050 20
24,PAD_S24,S,analog,12500,65,12450 0 12550 130,R0,11490 0 11510 20
25,PAD_S25,S,analog,13000,65,12950 0 13050 130,R0,11950 0 11970 20
26,PAD_S26,S,analog,13500,65,13450 0 13550 130,R0,12410 0 12430 20
27,PAD_S27,S,analog,14000,65,13950 0 14050 130,R0,12870 0 12890 20
28,PAD_S28,S,analog,14500,65,14450 0 14550 130,R0,13330 0 13350 20
29,PAD_S29,S,analog,15000,65,14950 0 15050 130,R0,13790 0 13810 20
30,PAD_S30,S,analog,15500,65,15450 0 15550 130,R0,14250 0 14270 20
31,PAD_S31,S,analog,16000,65,15950 0 16050 130,R0,14710 0 14730 20
32,PAD_S32,S,analog,16500,65,16450 0 16550 130,R0,15170 0 15190 20
33,PAD_S33,S,analog,17000,65,16950 0 17050 130,R0,15630 0 15650 20
34,PAD_S34,S,analog,17500,65,17450 0 17550 130,R0,16090 0 16110 20
35,PAD_S35,S,analog,18000,65,17950 0 18050 130,R0,16550 0 16570 20
36,PAD_S36,S,analog,18500,65,18450 0 18550 130,R0,17010 0 17030 20
37,PAD_S37,S,analog,19000,65,18950 0 19050 130,R0,17470 0 17490 20
38,PAD_S38,S,analog,19500,65,19450 0 19550 130,R0,17930 0 17950 20
39,PAD_S39,S,analog,20000,65,19950 0 20050 130,R0,18390 0 18410 20
40,PAD_S40,S,analog,20500,65,20450 0 20550 130,R0,18850 0 18870 20
41,PAD_S41,S,analog,21000,65,20950 0 21050 130,R0,19310 0 19330 20
42,PAD_S42,S,analog,21500,65,21450 0 21550 130,R0,19770 0 19790 20
43,PAD_S43,S,analog,22000,65,21950 0 22050 130,R0,20230 0 20250 20
44,PAD_S44,S,analog,22500,65,22450 0 22550 130,R0,20690 0 20710 20
45,PAD_S45,S,analog,23000,65,22950 0 23050 130,R0,21150 0 21170 20
46,PAD_S46,S,analog,23500,65,23450 0 23550 130,R0,21610 0 21630 20
47,PAD_S47,S,analog,24000,65,23950 0 24050 130,R0,22070 0 22090 20
48,PAD_S48,S,analog,24500,65,24450 0 24550 130,R0,22530 0 22550 20
49,PAD_E00,E,analog,24935,500,24870 450 25000 550,R270,22980 444.545 23000 464.545
50,PAD_E01,E,analog,24935,1000,24870 950 25000 1050,R270,22980 899.091 23000 919.091
51,PAD_E02,E,analog,24935,1500,24870 1450 25000 1550,R270,22980 1353.636 23000 1373.636
52,PAD_E03,E,analog,24935,2000,24870 1950 25000 2050,R270,22980 1808.182 23000 1828.182
53,PAD_E04,E,analog,24935,2500,24870 2450 25000 2550,R270,22980 2262.727 23000 2282.727
54,PAD_E05,E,analog,24935,3000,24870 2950 25000 3050,R270,22980 2717.273 23000 2737.273
55,PAD_E06,E,analog,24935,3500,24870 3450 25000 3550,R270,22980 3171.818 23000 3191.818
56,PAD_E07,E,analog,24935,4000,24870 3950 25000 4050,R270,22980 3626.364 23000 3646.364
57,PAD_E08,E,analog,24935,4500,24870 4450 25000 4550,R270,22980 4080.909 23000 4100.909
58,PAD_E09,E,analog,24935,5000,24870 4950 25000 5050,R270,22980 4535.455 23000 4555.455
59,PAD_E10,E,analog,24935,5500,24870 5450 25000 5550,R270,22980 4990 23000 5010
60,PAD_E11,E,analog,24935,6000,24870 5950 25000 6050,R270,22980 5444.545 23000 5464.545
61,PAD_E12,E,analog,24935,6500,24870 6450 25000 6550,R270,22980 5899.091 23000 5919.091
62,PAD_E13,E,analog,24935,7000,24870 6950 25000 7050,R270,22980 6353.636 23000 6373.636
63,PAD_E14,E,analog,24935,7500,24870 7450 25000 7550,R270,22980 6808.182 23000 6828.182
64,PAD_E15,E,analog,24935,8000,24870 7950 25000 8050,R270,22980 7262.727 23000 7282.727
65,PAD_E16,E,analog,24935,8500,24870 8450 25000 8550,R270,22980 7717.273 23000 7737.273
66,PAD_E17,E,analog,24935,9000,24870 8950 25000 9050,R270,22980 8171.818 23000 8191.818
67,PAD_E18,E,analog,24935,9500,24870 9450 25000 9550,R270,22980 8626.364 23000 8646.364
68,PAD_E19,E,analog,24935,10000,24870 9950 25000 10050,R270,22980 9080.909 23000 9100.909
69,PAD_E20,E,analog,24935,10500,24870 10450 25000 10550,R270,22980 9535.455 23000 9555.455
70,PAD_E21,E,analog,24935,11000,24870 10950 25000 11050,R270,22980 9990 23000 10010
71,PAD_E22,E,analog,24935,11500,24870 11450 25000 11550,R270,22980 10444.545 23000 10464.545
72,PAD_E23,E,analog,24935,12000,24870 11950 25000 12050,R270,22980 10899.091 23000 10919.091
73,PAD_E24,E,analog,24935,12500,24870 12450 25000 12550,R270,22980 11353.636 23000 11373.636
74,PAD_E25,E,analog,24935,13000,24870 12950 25000 13050,R270,22980 11808.182 23000 11828.182
75,PAD_E26,E,analog,24935,13500,24870 13450 25000 13550,R270,22980 12262.727 23000 12282.727
76,PAD_E27,E,analog,24935,14000,24870 13950 25000 14050,R270,22980 12717.273 23000 12737.273
77,PAD_E28,E,analog,24935,14500,24870 14450 25000 14550,R270,22980 13171.818 23000 13191.818
78,PAD_E29,E,analog,24935,15000,24870 14950 25000 15050,R270,22980 13626.364 23000 13646.364
79,PAD_E30,E,analog,24935,15500,24870 15450 25000 15550,R270,22980 14080.909 23000 14100.909
80,PAD_E31,E,analog,24935,16000,24870 15950 25000 16050,R270,22980 14535.455 23000 14555.455
81,PAD_E32,E,analog,24935,16500,24870 16450 25000 16550,R270,22980 14990 23000 15010
82,PAD_E33,E,analog,24935,17000,24870 16950 25000 17050,R270,22980 15444.545 23000 15464.545
83,PAD_E34,E,analog,24935,17500,24870 17450 25000 17550,R270,22980 15899.091 23000 15919.091
84,PAD_E35,E,analog,24935,18000,24870 17950 25000 18050,R270,22980 16353.636 23000 16373.636
85,PAD_E36,E,analog,24935,18500,24870 18450 25000 18550,R270,22980 16808.182 23000 16828.182
86,PAD_E37,E,analog,24935,19000,24870 18950 25000 19050,R270,22980 17262.727 23000 17282.727
87,PAD_E38,E,analog,24935,19500,24870 19450 25000 19550,R270,22980 17717.273 23000 17737.273
88,PAD_E39,E,analog,24935,20000,24870 19950 25000 20050,R270,22980 18171.818 23000 18191.818
89,PAD_E40,E,analog,24935,20500,24870 20450 25000 20550,R270,22980 18626.364 23000 18646.364
90,PAD_E41,E,analog,24935,21000,24870 20950 25000 21050,R270,22980 19080.909 23000 19100.909
91,PAD_E42,E,analog,24935,21500,24870 21450 25000 21550,R270,22980 19535.455 23000 19555.455
92,PAD_N00,N,analog,500,21935,450 21870 550 22000,R180,450 19980 470 20000
93,PAD_N01,N,analog,1000,21935,950 21870 1050 22000,R180,910 19980 930 20000
94,PAD_N02,N,analog,1500,21935,1450 21870 1550 22000,R180,1370 19980 1390 20000
95,PAD_N03,N,analog,2000,21935,1950 21870 2050 22000,R180,1830 19980 1850 20000
96,PAD_N04,N,analog,2500,21935,2450 21870 2550 22000,R180,2290 19980 2310 20000
97,PAD_N05,N,analog,3000,21935,2950 21870 3050 22000,R180,2750 19980 2770 20000
98,PAD_N06,N,analog,3500,21935,3450 21870 3550 22000,R180,3210 19980 3230 20000
99,PAD_N07,N,analog,4000,21935,3950 21870 4050 22000,R180,3670 19980 3690 20000
100,PAD_N08,N,analog,4500,21935,4450 21870 4550 22000,R180,4130 19980 4150 20000
101,PAD_N09,N,analog,5000,21935,4950 21870 5050 22000,R180,4590 19980 4610 20000
102,PAD_N10,N,analog,5500,21935,5450 21870 5550 22000,R180,5050 19980 5070 20000
103,PAD_N11,N,analog,6000,21935,5950 21870 6050 22000,R180,5510 19980 5530 20000
104,PAD_N12,N,analog,6500,21935,6450 21870 6550 22000,R180,5970 19980 5990 20000
105,PAD_N13,N,analog,7000,21935,6950 21870 7050 22000,R180,6430 19980 6450 20000
106,PAD_N14,N,analog,7500,21935,7450 21870 7550 22000,R180,6890 19980 6910 20000
107,PAD_N15,N,analog,8000,21935,7950 21870 8050 22000,R180,7350 19980 7370 20000
108,PAD_N16,N,analog,8500,21935,8450 21870 8550 22000,R180,7810 19980 7830 20000
109,PAD_N17,N,analog,9000,21935,8950 21870 9050 22000,R180,8270 19980 8290 20000
110,PAD_N18,N,analog,9500,21935,9450 21870 9550 22000,R180,8730 19980 8750 20000
111,PAD_N19,N,analog,10000,21935,9950 21870 10050 22000,R180,9190 19980 9210 20000
112,PAD_N20,N,analog,10500,21935,10450 21870 10550 22000,R180,9650 19980 9670 20000
113,PAD_N21,N,analog,11000,21935,10950 21870 11050 22000,R180,10110 19980 10130 20000
114,PAD_N22,N,analog,11500,21935,11450 21870 11550 22000,R180,10570 19980 10590 20000
115,PAD_N23,N,analog,12000,21935,11950 21870 12050 22000,R180,11030 19980 11050 20000
116,PAD_N24,N,analog,12500,21935,12450 21870 12550 22000,R180,11490 19980 11510 20000
117,PAD_N25,N,analog,13000,21935,12950 21870 13050 22000,R180,11950 19980 11970 20000
118,PAD_N26,N,analog,13500,21935,13450 21870 13550 22000,R180,12410 19980 12430 20000
119,PAD_N27,N,analog,14000,21935,13950 21870 14050 22000,R180,12870 19980 12890 20000
120,PAD_N28,N,analog,14500,21935,14450 21870 14550 22000,R180,13330 19980 13350 20000
121,PAD_N29,N,analog,15000,21935,14950 21870 15050 22000,R180,13790 19980 13810 20000
122,PAD_N30,N,analog,15500,21935,15450 21870 15550 22000,R180,14250 19980 14270 20000
123,PAD_N31,N,analog,16000,21935,15950 21870 16050 22000,R180,14710 19980 14730 20000
124,PAD_N32,N,analog,16500,21935,16450 21870 16550 22000,R180,15170 19980 15190 20000
